Ensembl_Gene_ID	E.t1.I	E.t1.II	E.t1.III	E.t4.I	E.t4.II	E.t4.III	E.t6.I	E.t6.II	E.t6.III	E.t8.I	E.t8.II	E.t8.III
ENSG00000123349	32	139	181	272	265	332	145	232	119	615	180	396
ENSG00000123352	71	145	71	372	84	19	412	442	39	190	332	443
ENSG00000123353	117	113	75	302	190	144	84	564	251	120	349	634
ENSG00000123358	175	132	153	115	252	248	139	393	530	199	30	197
ENSG00000123360	95	89	120	99	208	117	527	286	510	418	515	802
ENSG00000123364	14	8	160	251	337	347	395	601	13	273	434	97
ENSG00000123374	20	123	200	294	250	344	91	356	535	390	678	733
ENSG00000123384	120	108	14	329	149	231	486	9	660	581	305	624
ENSG00000123388	55	154	81	60	182	222	471	134	604	76	507	240
ENSG00000123395	179	184	133	360	161	216	540	185	641	381	116	680
ENSG00000123405	66	83	184	299	210	89	262	411	504	670	146	198
ENSG00000123407	5	168	6	258	22	134	213	392	362	492	585	393
ENSG00000123411	173	113	26	109	15	214	354	245	600	467	103	731
ENSG00000123415	69	29	206	79	342	162	409	250	595	149	170	852
ENSG00000123416	77	82	187	77	392	373	29	388	276	262	412	295
ENSG00000123427	180	144	65	167	268	77	160	558	329	27	729	409
ENSG00000123444	106	39	147	42	86	197	185	267	585	580	550	124
ENSG00000123447	9	3	124	306	244	208	13	324	574	605	598	756
ENSG00000123453	137	142	130	112	264	178	9	615	390	568	213	644
ENSG00000123454	119	105	153	232	160	128	384	67	612	409	240	763
ENSG00000123472	98	141	179	227	130	187	370	16	309	659	454	226
ENSG00000123473	70	33	216	41	275	299	342	132	286	685	141	858
ENSG00000123485	43	115	48	283	100	177	142	201	525	25	270	273
ENSG00000123496	31	8	62	285	353	398	382	291	168	213	354	546
ENSG00000123500	65	36	102	22	241	202	209	282	212	513	662	900
ENSG00000123505	174	122	163	137	93	225	395	424	511	385	345	512
ENSG00000123545	69	72	83	6	42	185	284	611	93	6	532	741
ENSG00000123552	159	115	0	75	217	145	69	136	27	571	339	546
ENSG00000123560	43	151	41	141	188	157	200	572	245	135	85	834
ENSG00000123561	22	158	162	277	113	57	509	291	235	632	392	765
ENSG00000123562	48	86	61	59	61	309	33	164	435	67	336	672
ENSG00000123569	104	75	109	144	240	377	22	241	492	7	305	11
ENSG00000123570	76	181	117	142	367	201	247	436	636	174	686	272
ENSG00000123572	35	65	42	190	215	328	55	172	79	678	176	73
ENSG00000123575	42	135	30	256	247	122	292	393	488	71	26	314
ENSG00000123576	117	37	177	346	340	15	91	92	369	91	169	334
ENSG00000123594	68	167	148	122	159	178	233	554	246	352	184	288
ENSG00000123595	165	178	188	270	156	391	322	274	340	246	678	27
ENSG00000123600	107	57	148	90	117	39	391	279	549	326	607	189
ENSG00000123607	64	36	127	45	37	151	373	591	134	561	26	795
ENSG00000123609	141	127	53	96	147	268	76	501	492	601	220	408
ENSG00000123610	132	118	91	325	159	39	597	570	342	248	618	441
ENSG00000123612	63	109	110	241	107	392	236	257	550	52	10	258
ENSG00000123636	149	22	90	350	396	434	599	540	310	398	94	263
ENSG00000123643	34	2	127	324	246	364	15	357	467	434	730	674
ENSG00000123684	61	193	181	96	43	91	337	272	161	631	644	88
ENSG00000123685	0	79	190	231	133	367	283	133	602	350	252	38
ENSG00000123689	50	78	161	280	154	214	1	580	136	45	349	348
ENSG00000123700	41	196	208	322	133	424	353	80	619	185	235	561
ENSG00000123728	82	3	114	134	121	215	335	192	123	473	376	173
ENSG00000123737	125	35	82	101	243	81	444	217	462	230	666	185
ENSG00000123739	66	111	116	281	248	336	502	206	465	15	656	425
ENSG00000123810	128	37	94	27	278	126	9	32	217	323	419	6
ENSG00000123815	73	43	40	220	4	63	288	449	194	368	675	451
ENSG00000123836	19	77	187	369	194	318	258	189	109	683	702	604
ENSG00000123838	179	34	200	305	30	235	286	33	239	520	412	186
ENSG00000123843	67	188	84	363	306	377	255	335	3	529	427	871
ENSG00000123870	146	44	135	89	259	45	101	46	517	313	507	747
ENSG00000123892	27	30	123	380	382	167	79	82	165	673	495	291
ENSG00000123901	10	55	157	265	252	365	582	222	337	66	234	538
ENSG00000123908	170	121	74	202	62	190	392	199	517	427	4	60
ENSG00000123933	137	25	96	136	374	417	542	532	351	38	109	604
ENSG00000123965	120	109	169	344	46	269	484	227	642	215	24	398
ENSG00000123975	157	174	21	143	87	390	487	598	236	8	161	481
ENSG00000123977	179	125	6	295	2	239	305	28	318	306	674	558
ENSG00000123983	134	62	83	185	378	160	527	140	558	493	127	22
ENSG00000123989	132	157	159	148	187	99	512	230	294	32	232	337
ENSG00000123992	120	78	203	181	190	171	98	218	78	63	537	748
ENSG00000123999	154	181	101	378	80	225	242	47	327	558	315	270
ENSG00000124003	81	1	43	251	90	332	107	295	546	315	632	768
ENSG00000124006	41	132	123	170	308	193	259	255	150	478	160	228
ENSG00000124019	124	3	37	86	307	24	165	488	586	658	669	44
ENSG00000124067	152	133	18	73	263	269	506	302	259	66	143	475
ENSG00000124074	150	167	20	352	83	110	142	323	249	105	180	643
ENSG00000124089	54	108	57	373	5	85	170	310	430	549	47	107
ENSG00000124091	68	72	171	125	388	47	5	37	372	116	94	660
ENSG00000124092	120	91	48	55	148	172	197	25	578	284	219	752
ENSG00000124097	176	79	29	185	206	178	94	8	392	84	199	524
ENSG00000124098	70	90	97	49	230	134	212	616	142	445	259	316
ENSG00000124102	71	20	172	346	367	14	194	110	190	624	278	847
ENSG00000124103	4	150	124	16	133	131	120	105	557	410	139	68
ENSG00000124104	121	170	186	29	229	349	494	22	83	372	54	546
ENSG00000124107	103	98	50	349	339	113	13	287	289	4	324	174
ENSG00000124116	156	54	84	19	223	128	57	389	448	445	3	669
ENSG00000124120	24	76	130	58	312	384	411	591	468	19	736	637
ENSG00000124126	54	160	110	287	354	402	357	520	322	174	596	756
ENSG00000124134	54	11	19	137	167	148	516	100	55	391	290	868
ENSG00000124140	152	78	138	229	334	46	368	533	113	505	515	641
ENSG00000124143	158	195	5	218	228	209	407	415	357	30	136	632
ENSG00000124145	40	176	165	114	119	341	391	59	51	535	72	602
ENSG00000124151	104	187	190	246	257	113	151	56	244	490	604	516
ENSG00000124155	46	190	163	42	129	412	80	204	533	352	487	35
ENSG00000124157	28	7	128	243	87	196	0	86	212	61	209	279
ENSG00000124159	98	178	131	336	55	291	453	86	263	371	674	821
ENSG00000124160	90	190	172	246	170	324	554	50	11	563	412	186
ENSG00000124164	59	187	28	342	148	280	391	570	248	621	282	56
ENSG00000124171	16	200	18	92	116	424	507	428	223	45	317	606
ENSG00000124172	94	77	34	294	147	98	144	618	521	688	397	788
ENSG00000124177	108	184	44	90	337	264	15	125	516	131	60	741
ENSG00000124181	22	156	147	156	72	331	2	523	192	622	280	720
ENSG00000124191	18	114	218	103	296	197	464	238	589	417	136	452
ENSG00000124193	55	163	8	312	46	396	40	29	636	534	389	304
ENSG00000124194	126	142	57	186	49	353	267	495	206	277	44	334
ENSG00000124196	127	167	217	161	212	170	582	383	238	278	500	68
ENSG00000124198	117	39	152	370	371	359	230	620	52	443	560	668
ENSG00000124201	174	118	180	271	153	348	115	241	351	632	583	431
ENSG00000124203	155	60	11	156	167	74	423	403	383	459	165	19
ENSG00000124205	177	113	220	320	167	41	178	27	370	178	589	733
ENSG00000124207	4	80	191	55	140	303	548	290	405	599	689	808
ENSG00000124209	85	19	104	54	98	141	100	369	109	494	118	792
ENSG00000124212	138	198	6	83	319	161	16	163	276	421	528	25
ENSG00000124214	33	161	158	7	37	32	122	595	1	313	391	218
ENSG00000124215	131	12	132	277	193	360	164	296	178	370	110	343
ENSG00000124216	67	142	96	195	18	233	125	341	520	301	296	833
ENSG00000124217	170	132	176	295	371	60	23	510	325	62	247	551
ENSG00000124224	84	161	87	179	82	291	52	561	66	690	150	24
ENSG00000124225	33	144	91	345	255	173	72	583	109	481	416	55
ENSG00000124226	22	177	214	213	387	155	5	299	342	673	640	753
ENSG00000124227	166	17	176	106	235	348	122	399	398	300	290	383
ENSG00000124228	162	52	41	186	195	31	304	281	67	632	66	480
ENSG00000124232	117	184	0	20	289	102	497	158	190	606	720	736
ENSG00000124233	168	157	30	361	40	229	67	130	444	71	358	565
ENSG00000124237	64	179	169	114	105	190	593	514	144	20	167	192
ENSG00000124243	169	68	195	297	75	95	435	151	254	28	740	296
ENSG00000124249	165	165	172	97	233	260	257	419	133	646	131	815
ENSG00000124251	168	88	138	321	155	69	436	57	75	486	315	12
ENSG00000124253	148	173	106	215	340	86	581	46	37	21	295	749
ENSG00000124256	103	164	69	125	339	345	397	115	85	130	697	541
ENSG00000124257	63	25	40	159	207	15	246	542	272	467	680	365
ENSG00000124260	169	5	24	227	209	171	62	619	378	649	590	861
ENSG00000124275	17	59	80	7	131	186	120	399	99	10	366	189
ENSG00000124279	27	166	96	315	276	157	198	413	410	94	61	666
ENSG00000124299	152	53	73	345	297	234	560	370	198	453	610	287
ENSG00000124302	45	79	6	310	332	403	1	394	468	78	541	605
ENSG00000124313	160	24	113	113	274	218	364	134	607	126	688	382
ENSG00000124333	172	165	97	270	71	254	436	487	108	274	570	213
ENSG00000124334	119	146	169	36	117	260	152	16	140	345	247	90
ENSG00000124343	111	187	22	94	4	37	30	594	494	266	35	55
ENSG00000124356	106	37	219	135	250	428	170	606	538	179	399	385
ENSG00000124357	108	199	60	89	15	252	571	588	638	273	495	800
ENSG00000124370	178	21	67	348	266	244	175	264	415	114	259	733
ENSG00000124374	86	174	94	24	395	431	76	83	580	30	407	99
ENSG00000124380	97	13	70	142	14	145	400	310	118	186	189	580
ENSG00000124383	142	100	102	149	73	440	514	81	425	622	661	761
ENSG00000124391	134	174	8	238	259	290	346	16	572	267	317	676
ENSG00000124399	140	194	64	365	109	93	537	165	318	157	611	341
ENSG00000124406	93	143	179	375	228	374	353	109	218	65	28	371
ENSG00000124422	151	1	156	70	91	82	432	55	275	367	608	317
ENSG00000124429	24	164	136	62	91	352	585	134	576	29	703	296
ENSG00000124440	45	152	75	148	5	163	377	73	345	128	86	543
ENSG00000124444	138	137	162	347	116	263	112	603	347	96	392	834
ENSG00000124449	26	198	144	169	34	80	480	278	110	196	60	783
ENSG00000124455	44	120	154	60	117	427	472	296	145	575	252	354
ENSG00000124459	81	166	211	47	95	422	14	479	459	626	655	485
ENSG00000124466	39	11	5	223	383	183	460	264	627	19	358	523
ENSG00000124467	40	137	50	355	188	332	361	340	53	133	418	551
ENSG00000124469	10	41	48	366	217	326	249	215	204	587	624	398
ENSG00000124479	171	65	97	102	99	202	181	263	636	421	304	486
ENSG00000124486	8	104	41	173	159	274	242	345	286	334	537	743
ENSG00000124490	10	115	220	290	394	416	325	434	415	392	173	308
ENSG00000124491	100	62	18	169	241	221	374	408	603	443	311	621
ENSG00000124493	74	195	187	170	134	8	237	330	189	63	255	555
ENSG00000124496	7	11	20	25	190	172	242	564	515	2	575	653
ENSG00000124507	80	105	145	207	104	270	114	591	515	22	458	323
ENSG00000124508	57	1	23	167	300	61	385	210	197	674	205	291
ENSG00000124523	54	183	191	89	155	182	185	19	599	50	558	603
ENSG00000124529	25	10	74	313	180	259	380	500	563	130	362	263
ENSG00000124532	7	62	67	110	208	62	218	255	655	139	74	861
ENSG00000124535	148	112	86	47	354	308	14	402	501	286	391	498
ENSG00000124541	124	78	56	86	349	392	64	246	66	587	112	661
ENSG00000124557	80	145	163	286	282	128	348	180	337	177	75	63
ENSG00000124562	52	87	159	343	370	183	600	285	309	561	104	2
ENSG00000124564	67	161	182	18	99	353	414	309	457	178	3	310
ENSG00000124568	46	43	21	301	281	46	576	79	350	631	652	439
ENSG00000124570	149	92	154	109	142	89	513	511	320	537	36	461
ENSG00000124571	48	24	116	6	128	328	325	544	17	581	617	261
ENSG00000124574	33	94	159	54	72	77	293	620	332	470	290	839
ENSG00000124575	73	36	153	165	69	73	539	212	426	604	59	857
ENSG00000124578	148	171	158	249	154	282	532	130	16	213	247	499
ENSG00000124587	57	105	196	325	278	287	305	208	494	351	207	240
ENSG00000124588	31	88	195	372	145	316	37	325	310	580	683	109
ENSG00000124593	132	185	180	282	298	395	139	246	401	523	375	531
ENSG00000124596	1	192	57	80	148	420	170	299	458	459	13	696
ENSG00000124602	32	63	25	175	242	216	146	246	110	676	287	511
ENSG00000124608	55	154	10	23	258	309	21	205	397	389	698	349
ENSG00000124610	73	182	58	191	140	169	87	502	266	178	366	811
ENSG00000124613	49	3	146	74	332	415	150	97	102	216	70	586
ENSG00000124614	160	31	90	215	371	157	292	604	172	643	36	424
ENSG00000124615	65	166	139	33	361	23	496	539	514	160	721	73
ENSG00000124635	112	1	34	166	376	100	261	171	546	326	159	529
ENSG00000124641	128	141	21	203	198	327	138	565	420	484	226	630
ENSG00000124657	6	170	62	159	63	408	468	588	497	317	581	627
ENSG00000124659	43	41	149	133	285	178	67	546	571	11	143	655
ENSG00000124664	102	164	148	123	66	415	312	240	360	189	623	241
ENSG00000124678	60	37	30	14	117	13	179	439	509	0	187	545
ENSG00000124688	127	7	136	272	186	144	146	51	633	65	352	835
ENSG00000124693	98	119	81	216	255	283	159	80	135	449	80	825
ENSG00000124701	87	97	105	128	234	132	22	140	312	149	577	516
ENSG00000124702	7	168	29	28	255	321	229	611	527	337	596	844
ENSG00000124713	158	56	165	101	128	181	494	81	207	215	479	289
ENSG00000124721	18	108	103	232	319	18	162	399	498	493	12	866
ENSG00000124731	124	89	176	122	133	213	372	180	118	26	35	624
ENSG00000124733	140	63	142	236	238	2	430	17	242	539	722	338
ENSG00000124743	76	127	64	218	138	427	39	399	512	602	241	480
ENSG00000124749	109	169	123	173	139	90	313	315	198	231	464	159
ENSG00000124762	82	146	13	349	285	4	53	88	265	95	399	709
ENSG00000124766	83	81	1	271	239	290	252	217	545	210	134	100
ENSG00000124767	103	41	6	333	48	384	451	126	100	653	327	401
ENSG00000124772	155	162	4	43	374	162	240	164	546	543	24	326
ENSG00000124780	89	91	15	45	268	236	431	377	455	120	50	292
ENSG00000124782	40	12	40	105	378	65	516	17	123	12	578	366
ENSG00000124783	90	165	34	192	56	45	12	409	611	154	241	390
ENSG00000124784	65	19	43	115	148	60	462	556	457	459	140	841
ENSG00000124785	74	10	100	24	342	160	285	112	424	619	474	202
ENSG00000124786	19	106	163	117	362	325	555	275	641	288	156	300
ENSG00000124787	44	157	94	32	8	250	95	459	587	647	17	524
ENSG00000124788	5	145	144	123	7	367	71	324	507	386	98	525
ENSG00000124789	52	17	9	242	129	88	362	323	483	434	54	461
ENSG00000124795	58	23	89	234	209	325	144	127	194	76	628	702
ENSG00000124802	75	184	113	256	271	279	414	363	371	494	29	713
ENSG00000124812	70	114	159	171	120	112	226	462	54	387	484	845
ENSG00000124813	116	38	25	28	41	25	204	68	164	272	317	99
ENSG00000124818	110	76	196	124	219	319	7	596	310	59	281	788
ENSG00000124827	127	72	146	39	46	413	523	478	374	271	321	546
ENSG00000124831	52	45	154	212	122	6	291	286	244	136	639	152
ENSG00000124835	116	168	146	58	108	377	29	218	559	328	633	718
ENSG00000124839	139	111	97	58	251	164	348	491	169	25	76	435
ENSG00000124875	62	90	57	70	220	133	593	283	403	270	434	69
ENSG00000124882	131	199	24	349	269	219	244	547	289	638	557	235
ENSG00000124900	149	12	102	291	286	6	100	439	136	605	36	189
ENSG00000124915	165	36	178	177	62	106	513	282	411	268	31	610
ENSG00000124920	37	27	141	136	47	94	10	505	23	406	132	453
ENSG00000124935	142	72	217	226	371	120	250	196	471	334	724	287
ENSG00000124939	100	87	117	149	276	431	230	325	61	552	15	289
ENSG00000124942	157	125	145	376	289	432	143	438	27	546	656	685
ENSG00000125037	31	180	217	316	217	182	470	540	514	295	366	69
ENSG00000125046	168	189	78	102	163	98	412	231	545	82	605	333
ENSG00000125084	112	63	201	203	266	281	157	291	574	625	628	7
ENSG00000125089	33	177	201	265	83	293	144	122	426	615	677	302
ENSG00000125107	94	148	173	218	204	165	488	403	642	343	452	459
ENSG00000125122	130	187	15	339	163	111	35	273	444	347	159	784
ENSG00000125124	145	186	71	288	81	365	546	606	577	533	504	793
ENSG00000125144	159	181	87	279	24	59	396	326	322	552	34	585
ENSG00000125148	171	53	10	262	104	207	115	265	628	112	230	738
ENSG00000125149	109	88	141	274	181	60	571	132	389	235	344	78
ENSG00000125166	27	24	159	89	84	171	200	42	71	693	491	626
ENSG00000125170	114	197	42	276	110	218	118	249	427	389	248	465
ENSG00000125207	84	139	50	318	99	255	542	142	293	208	519	79
ENSG00000125245	10	98	14	185	221	310	320	415	60	561	208	801
ENSG00000125246	117	36	134	349	386	389	81	420	306	566	662	764
ENSG00000125247	27	71	99	371	94	371	69	226	76	353	605	259
ENSG00000125249	42	190	70	344	385	290	159	488	606	248	3	875
ENSG00000125255	80	21	79	123	3	3	569	260	362	553	139	870
ENSG00000125257	163	164	40	279	355	394	142	566	54	544	588	382
ENSG00000125266	0	102	39	85	172	26	557	581	25	14	530	208
ENSG00000125285	153	77	87	336	184	87	484	204	192	279	78	13
ENSG00000125304	98	83	11	50	256	162	46	181	226	603	329	249
ENSG00000125319	94	97	113	151	180	388	466	410	393	614	626	6
ENSG00000125337	59	1	137	135	71	420	189	103	614	154	306	43
ENSG00000125347	14	35	138	191	2	160	295	528	107	64	492	446
ENSG00000125351	83	31	174	68	278	308	261	596	285	177	504	240
ENSG00000125352	113	65	105	105	123	10	34	36	309	42	163	628
ENSG00000125354	48	8	183	46	265	230	410	67	290	387	618	90
ENSG00000125355	78	149	111	209	216	299	29	18	114	217	308	808
ENSG00000125356	68	99	37	108	313	412	74	605	104	390	476	864
ENSG00000125363	72	23	74	331	388	231	338	607	229	209	9	828
ENSG00000125375	147	138	186	30	336	92	427	362	434	48	124	146
ENSG00000125378	101	96	145	172	254	130	471	342	144	290	143	346
ENSG00000125384	150	175	104	155	191	373	237	291	286	174	195	746
ENSG00000125386	69	53	188	237	263	213	108	560	580	85	623	702
ENSG00000125388	165	61	127	64	332	201	487	146	161	170	222	534
ENSG00000125398	125	103	88	146	147	323	196	510	429	105	555	395
ENSG00000125409	130	92	143	317	297	202	219	592	268	395	0	228
ENSG00000125414	144	79	95	163	18	420	180	475	91	463	74	171
ENSG00000125430	144	2	116	108	210	353	113	521	556	493	261	181
ENSG00000125434	117	97	131	182	324	429	552	535	228	513	589	408
ENSG00000125445	47	98	19	299	64	412	385	341	641	108	660	745
ENSG00000125447	139	18	18	3	245	392	493	518	102	345	684	246
ENSG00000125449	171	118	31	307	201	202	541	140	261	658	545	490
ENSG00000125450	96	186	218	219	16	400	258	321	390	5	373	8
ENSG00000125454	110	151	75	343	167	118	478	6	111	14	533	575
ENSG00000125457	136	85	51	100	203	6	515	562	221	77	53	559
ENSG00000125458	174	123	136	66	211	229	311	235	65	187	399	274
ENSG00000125462	66	93	49	305	111	87	285	448	652	148	358	670
ENSG00000125482	31	26	84	79	106	156	233	372	268	43	125	883
ENSG00000125484	125	20	193	17	93	338	449	569	458	83	410	644
ENSG00000125485	95	89	12	6	373	41	158	182	553	364	650	365
ENSG00000125492	73	14	99	182	25	343	327	348	547	191	423	670
ENSG00000125503	159	4	194	183	3	396	319	581	26	180	176	698
ENSG00000125505	38	71	133	205	37	122	67	498	419	115	563	409
ENSG00000125508	138	133	112	254	55	57	122	2	501	354	535	435
ENSG00000125510	17	67	94	103	265	125	511	321	136	421	538	216
ENSG00000125514	170	48	172	378	129	117	257	132	248	551	318	900
ENSG00000125520	133	193	154	248	72	264	203	17	15	155	356	117
ENSG00000125522	69	103	95	250	116	102	137	186	434	546	382	886
ENSG00000125531	144	109	166	260	165	46	6	601	269	9	205	177
ENSG00000125533	32	84	105	285	200	250	21	212	309	555	147	734
ENSG00000125534	155	4	53	67	111	175	331	594	552	462	527	20
ENSG00000125538	114	60	39	62	256	165	114	87	150	189	551	227
ENSG00000125571	142	127	212	286	238	340	594	26	266	179	560	150
ENSG00000125611	84	161	75	278	331	386	454	275	417	264	63	859
ENSG00000125618	114	44	35	77	41	341	440	173	561	246	518	485
ENSG00000125629	126	115	52	175	108	62	219	522	60	581	360	827
ENSG00000125630	88	171	24	186	377	211	472	75	517	590	589	42
ENSG00000125631	177	92	171	219	311	228	396	539	563	269	180	375
ENSG00000125633	154	186	203	284	277	212	290	155	147	59	252	142
ENSG00000125637	112	143	110	297	136	394	200	561	214	560	635	653
ENSG00000125648	101	178	194	354	329	421	585	34	506	521	140	6
ENSG00000125650	21	121	125	117	93	330	204	220	203	409	621	225
ENSG00000125651	165	132	126	329	356	28	352	585	136	284	168	27
ENSG00000125652	62	175	29	40	270	136	293	579	308	315	30	862
ENSG00000125656	164	7	178	221	67	237	43	12	123	368	314	306
ENSG00000125657	108	114	51	128	284	335	281	467	655	285	240	236
ENSG00000125675	64	98	166	90	271	143	108	206	517	219	257	30
ENSG00000125676	158	83	1	52	389	415	558	489	388	678	71	483
ENSG00000125686	36	42	106	246	32	383	476	506	185	698	486	511
ENSG00000125691	55	123	154	210	329	108	591	313	137	156	641	599
ENSG00000125695	77	126	87	265	343	227	43	577	424	14	204	434
ENSG00000125703	74	8	196	40	238	119	19	620	136	356	317	157
ENSG00000125726	90	128	125	168	145	194	426	387	593	128	720	234
ENSG00000125730	50	164	132	167	36	62	116	369	93	389	712	500
ENSG00000125731	117	27	57	129	179	228	354	365	84	212	499	602
ENSG00000125733	160	113	22	365	117	176	408	110	563	45	99	812
ENSG00000125734	89	121	147	371	79	94	141	443	581	444	578	280
ENSG00000125735	99	3	90	19	330	107	340	598	349	0	539	718
ENSG00000125740	141	195	208	241	178	363	589	121	610	96	128	515
ENSG00000125741	130	4	182	174	68	439	505	3	311	26	441	782
ENSG00000125743	8	124	44	25	55	78	555	7	494	144	86	502
ENSG00000125744	128	73	201	293	275	300	302	483	459	576	287	145
ENSG00000125746	132	194	134	284	146	258	137	560	525	192	96	124
ENSG00000125753	150	15	173	235	167	87	380	541	323	190	533	25
ENSG00000125755	134	69	72	206	150	233	215	226	658	76	553	781
ENSG00000125772	127	146	55	171	141	123	49	7	56	692	160	493
ENSG00000125775	123	124	218	50	305	252	441	404	5	477	672	871
ENSG00000125779	167	94	151	301	248	315	465	22	588	356	333	502
ENSG00000125780	121	146	114	23	217	118	180	87	337	222	375	508
ENSG00000125787	144	77	114	279	393	316	261	383	268	646	636	577
ENSG00000125788	38	28	74	67	8	109	345	408	356	352	586	586
ENSG00000125798	79	173	202	106	101	296	54	86	131	648	671	820
ENSG00000125804	134	56	182	334	239	394	493	244	87	82	279	814
ENSG00000125810	8	186	106	6	296	222	139	249	386	195	209	771
ENSG00000125812	153	112	210	90	201	345	406	598	368	610	140	219
ENSG00000125813	25	200	145	344	152	123	74	197	546	659	131	766
ENSG00000125814	141	102	165	184	67	236	269	97	273	619	604	274
ENSG00000125815	110	168	98	7	3	389	256	395	177	102	722	389
ENSG00000125816	76	64	164	120	250	223	483	210	554	228	126	526
ENSG00000125817	114	157	76	138	307	122	67	136	28	632	120	452
ENSG00000125818	78	47	94	6	234	139	458	193	159	316	621	742
ENSG00000125820	146	96	112	129	212	146	248	161	463	38	342	33
ENSG00000125821	76	200	174	370	52	184	409	309	594	692	664	56
ENSG00000125823	8	72	35	114	130	26	178	206	286	397	525	585
ENSG00000125826	52	33	90	254	116	350	355	443	599	643	499	161
ENSG00000125827	2	176	169	268	15	59	447	379	258	21	140	606
ENSG00000125831	39	71	52	308	35	413	75	59	492	204	198	764
ENSG00000125834	37	151	83	93	274	73	445	406	237	538	36	324
ENSG00000125835	21	1	157	9	120	191	453	18	224	223	576	570
ENSG00000125841	97	133	113	283	153	373	151	509	89	148	237	773
ENSG00000125843	18	194	130	8	84	195	110	428	262	423	148	65
ENSG00000125844	128	18	31	75	223	273	299	276	232	392	34	569
ENSG00000125845	66	110	209	264	281	376	565	428	619	492	318	90
ENSG00000125846	118	60	15	358	52	413	30	148	605	262	69	180
ENSG00000125848	61	8	101	72	14	315	328	492	400	359	610	407
ENSG00000125850	38	167	78	203	119	294	390	428	40	224	668	704
ENSG00000125851	162	102	134	258	237	404	575	507	83	500	138	497
ENSG00000125861	52	104	20	117	127	206	563	285	6	229	585	79
ENSG00000125863	41	181	95	169	122	276	150	241	69	103	493	559
ENSG00000125864	142	128	32	174	333	404	65	18	503	130	156	682
ENSG00000125868	51	19	74	68	72	150	270	430	566	111	433	410
ENSG00000125869	151	88	116	327	91	178	276	488	78	322	13	525
ENSG00000125870	150	110	48	380	64	176	565	280	492	615	278	610
ENSG00000125871	4	49	25	98	123	98	204	606	117	235	588	46
ENSG00000125872	150	152	29	122	71	157	278	232	303	440	219	167
ENSG00000125875	141	51	41	279	252	205	5	382	189	287	681	195
ENSG00000125877	149	2	40	253	399	74	542	178	636	503	62	8
ENSG00000125878	12	37	64	1	162	366	470	372	219	127	355	173
ENSG00000125879	143	173	22	226	199	304	329	489	505	504	439	583
ENSG00000125885	33	154	142	251	364	268	322	116	658	601	472	445
ENSG00000125888	149	78	23	144	310	420	171	213	248	48	729	296
ENSG00000125895	84	192	111	154	279	412	36	88	216	317	499	229
ENSG00000125898	35	16	46	380	247	358	345	61	586	577	581	398
ENSG00000125899	156	72	22	307	183	131	429	174	7	101	73	122
ENSG00000125900	30	161	172	256	315	140	511	121	270	20	644	686
ENSG00000125901	98	149	57	17	119	435	245	372	423	176	281	97
ENSG00000125903	160	98	24	132	52	84	415	249	269	284	114	725
ENSG00000125910	10	37	141	146	134	64	416	412	207	437	661	811
ENSG00000125912	39	175	191	375	178	384	21	137	585	395	599	811
ENSG00000125931	126	114	20	348	341	32	307	569	256	332	433	170
ENSG00000125944	1	62	139	6	365	51	21	284	658	598	282	245
ENSG00000125945	124	135	172	257	31	34	211	359	392	275	495	424
ENSG00000125952	44	135	122	202	233	251	294	107	181	538	535	487
ENSG00000125954	149	182	54	258	285	292	449	523	613	619	358	286
ENSG00000125962	26	169	11	142	278	259	183	70	93	347	298	759
ENSG00000125965	116	88	171	160	258	61	171	206	207	351	482	193
ENSG00000125966	151	44	8	316	175	145	270	214	358	195	601	746
ENSG00000125967	153	178	36	150	236	103	534	574	295	393	177	414
ENSG00000125968	68	37	179	144	44	141	526	321	633	30	584	716
ENSG00000125970	50	159	144	258	271	243	597	510	545	404	392	251
ENSG00000125971	66	169	34	292	129	199	213	363	349	165	579	155
ENSG00000125975	108	28	179	169	73	146	358	461	85	28	674	116
ENSG00000125977	60	1	17	209	322	189	284	75	169	440	711	563
ENSG00000125991	64	171	108	57	103	135	222	423	272	486	702	751
ENSG00000125995	44	0	55	33	370	100	558	283	291	558	616	620
ENSG00000125997	146	95	83	153	44	306	291	527	143	537	147	622
ENSG00000125998	30	95	155	189	100	415	1	512	608	95	529	483
ENSG00000125999	64	101	26	305	80	12	372	580	99	434	309	610
ENSG00000126001	134	177	70	147	286	217	437	367	594	245	529	456
ENSG00000126003	29	38	123	315	255	315	182	75	296	164	400	699
ENSG00000126010	102	24	62	38	352	36	80	256	30	405	84	288
ENSG00000126012	126	62	86	200	53	421	547	78	385	235	716	424
ENSG00000126016	175	90	150	87	399	313	92	329	553	336	725	90
ENSG00000126062	39	0	138	301	313	372	71	166	520	514	29	599
ENSG00000126067	128	25	134	51	143	368	312	412	479	53	493	825
ENSG00000126070	99	13	64	348	2	195	565	340	603	538	479	89
ENSG00000126088	138	156	95	380	282	117	46	302	67	381	142	570
ENSG00000126091	129	59	31	184	276	70	93	518	341	302	393	476
ENSG00000126106	3	71	152	218	329	404	337	566	125	98	276	833
ENSG00000126107	34	181	104	32	51	61	501	162	114	453	737	276
ENSG00000126214	121	192	145	22	60	307	535	186	324	426	84	178
ENSG00000126215	92	30	21	378	148	424	94	138	376	458	246	467
ENSG00000126216	57	150	52	243	58	76	597	151	130	161	403	77
ENSG00000126217	45	107	196	303	78	219	114	134	201	681	98	683
